date,state,Coal -  GWh,Bioenergy -  GWh,Distillate -  GWh,Gas -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar -  GWh
01/08/2024,NSW,285.84,1.55,0,3.76,0.71,16.24,108.17,128.33
01/09/2024,NSW,2981.82,18.63,0.5,73.31,6.92,200.2,723.99,1292.16
01/10/2024,NSW,3120.81,17.22,3.72,28.81,9.83,250.39,527.66,1584.3
01/11/2024,NSW,3223.06,15.03,1.2,102.69,13.19,373.41,557.13,1605.7
01/12/2024,NSW,3686.88,12.07,0.82,121.7,12.09,193.87,531,2104.82
01/01/2025,NSW,3704.53,15.91,0.06,84.81,10.11,141.66,685.71,1893.72
01/02/2025,NSW,3406.66,13.19,0.03,86.91,10.37,169.15,511.19,1731.85
01/03/2025,NSW,3880.29,12.83,0.02,55.47,12.3,152.66,737.64,1454.15
01/04/2025,NSW,3103.7,1.57,0.21,191.71,16.33,189.88,493.36,1302.93
01/05/2025,NSW,3832.05,1.94,1.7,177.94,19.66,282.86,638.1,1020.75
01/06/2025,NSW,4300.7,0.18,0.11,289.58,24.94,331.9,555.02,939.05
01/07/2025,NSW,4470.04,14.03,0.01,195.23,30.42,179.86,858.39,989.64
01/08/2025,NSW,3840.9,8.34,0.01,207.47,29.89,195.68,688.52,1090.92
