date,state,Coal -  GWh,Bioenergy -  GWh,Distillate -  GWh,Gas -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar -  GWh
01/08/2024,QLD,327.82,3.04,0,21.02,0.71,14,15.39,130.74
01/09/2024,QLD,3197.13,35.81,0.21,288.8,11.72,121.33,244.98,1247.46
01/10/2024,QLD,3206.47,35.75,0.98,284.11,15.88,139.61,270.6,1437.9
01/11/2024,QLD,3263.32,35.52,7.47,472.82,19.51,107.17,273.11,1434.52
01/12/2024,QLD,3578.58,21.59,12.17,492.63,19.89,132.4,184.2,1538.55
01/01/2025,QLD,3750.47,9.21,4.06,343.42,19.88,123.42,232.94,1584.1
01/02/2025,QLD,3471.04,1.93,1.07,362.21,16.84,109.97,265.43,1345.7
01/03/2025,QLD,3968.74,2.75,0.01,310.09,19.86,112.61,310.14,1150.53
01/04/2025,QLD,3485.96,-0.66,0,275.41,29.52,117.47,272.81,1213.5
01/05/2025,QLD,3485.75,0.25,1.2,357.67,28,151.52,346.57,1027.6
01/06/2025,QLD,3759.73,23.08,1.15,395.27,35.66,127.06,401.26,966.12
01/07/2025,QLD,3645.76,30.69,0.83,353.2,32.88,138.32,462.02,1121.25
01/08/2025,QLD,3370.29,30.97,0.38,390.12,37.14,118.75,344.85,1142.11
