date,state,Distillate -  GWh,Gas -  GWh,Battery (Discharging) -  GWh,Wind -  GWh,Solar -  GWh
01/08/2024,SA,0.03,7.9,1.13,93.73,29.44
01/09/2024,SA,0.59,157.32,12.27,640.3,332.66
01/10/2024,SA,0.09,134.56,16.03,536.19,411.38
01/11/2024,SA,0.04,235.81,15.98,479.69,441.91
01/12/2024,SA,0.23,204,14.41,510.74,516.82
01/01/2025,SA,0.2,192.89,15.97,531.04,517.49
01/02/2025,SA,0.96,207.28,17.21,509.37,428
01/03/2025,SA,0.15,215.65,19.44,578.76,405.9
01/04/2025,SA,0.16,251.81,21.84,383.82,305.92
01/05/2025,SA,0.24,326.54,26.26,545.88,277.95
01/06/2025,SA,0.35,465.32,35.1,653.05,194.58
01/07/2025,SA,2.48,394.38,34.96,744.79,211.73
01/08/2025,SA,0.23,335.06,28.64,690.2,279.02
