date,state,Gas -  GWh,Hydro -  GWh,Wind -  GWh,Solar -  GWh
01/08/2024,TAS,0,47.89,26.68,2.58
01/09/2024,TAS,1.57,691.95,239.12,27.14
01/10/2024,TAS,3.39,653.22,186.72,43.82
01/11/2024,TAS,2.17,531.45,142.09,47.51
01/12/2024,TAS,1.46,507.49,174.91,52.2
01/01/2025,TAS,3.01,423.98,120.38,53.08
01/02/2025,TAS,5.75,383.53,131.93,43.12
01/03/2025,TAS,9.01,470.96,115.97,40.64
01/04/2025,TAS,9.27,507.32,108.29,27.67
01/05/2025,TAS,16.49,519.98,147.41,21.87
01/06/2025,TAS,19.07,650.44,128.39,15.16
01/07/2025,TAS,15.15,696.28,161.68,17.24
01/08/2025,TAS,76.83,581.01,139.79,24.29
