date,state,Coal -  GWh,Gas -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar -  GWh
01/08/2024,VIC,218.25,0.01,1.56,2.06,180.29,43.05
01/09/2024,VIC,2473.5,14.83,20.26,147.08,1222.37,539.65
01/10/2024,VIC,2143.2,13.92,27.22,217.51,993.29,814.24
01/11/2024,VIC,2245.36,69.55,16.91,273.24,749.35,834.82
01/12/2024,VIC,2239.93,65.97,20.39,178.75,859.25,1001.43
01/01/2025,VIC,2466.26,38.63,24.34,177.25,915.41,990.63
01/02/2025,VIC,2231.94,75.57,22.53,209.25,1024.99,878.86
01/03/2025,VIC,2709.49,42.6,22.29,221.64,925.25,808.08
01/04/2025,VIC,2743.39,20.79,27.32,211.35,819.18,590.09
01/05/2025,VIC,2821.46,100.46,35.7,296.94,938.32,512.54
01/06/2025,VIC,2705.38,383.39,47.89,266.42,1195.52,358.98
01/07/2025,VIC,3023.9,144.49,45.82,142.95,1516.02,395.18
01/08/2025,VIC,2617.67,135.93,52.92,179.41,1074.24,549.7
