date,state,Coal -  GWh,Bioenergy -  GWh,Distillate -  GWh,Gas -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar -  GWh
01/08/2024,WA,44.28,0.51,0.08,57.84,1.19,0,31.92,31.16
01/09/2024,WA,412.05,5.52,1,511.36,16.07,0,297.42,403.68
01/10/2024,WA,416.24,6.13,1.14,532.87,23.92,0,263.17,467.91
01/11/2024,WA,321.83,5.77,1.23,518.78,21.55,0,312.91,468.11
01/12/2024,WA,526.38,7,1.29,540,32.22,0,373.41,556.43
01/01/2025,WA,643.8,6.99,1.5,627.91,28.02,0,348.91,542.83
01/02/2025,WA,559.89,5.79,1.13,498.48,28.42,0,315.88,471.07
01/03/2025,WA,498.21,4.81,0.29,589.67,19.99,0,352.7,470.41
01/04/2025,WA,544.44,5.73,1.97,434.08,35.6,0.01,307.28,360.41
01/05/2025,WA,554.86,5.1,1.16,525.51,39.39,0,313.63,318.04
01/06/2025,WA,576.54,5.25,0.37,596.04,35.17,0,237.02,236.86
01/07/2025,WA,654.98,17.23,0.88,722.28,43.65,0,273.79,270.13
01/08/2025,WA,515.92,23.25,0.56,616.04,59.44,0.01,319.23,305.39
