state,year,Population
NSW,1960-61,"3,977,329"
NSW,1961-62,"4,053,121"
NSW,1962-63,"4,123,398"
NSW,1963-64,"4,188,248"
NSW,1964-65,"4,263,903"
NSW,1965-66,"4,333,933"
NSW,1966-67,"4,398,717"
NSW,1967-68,"4,471,420"
NSW,1968-69,"4,562,850"
NSW,1969-70,"4,653,798"
NSW,1970-71,"4,876,672"
NSW,1971-72,"4,954,898"
NSW,1972-73,"5,015,204"
NSW,1973-74,"5,080,294"
NSW,1974-75,"5,131,023"
NSW,1975-76,"5,167,328"
NSW,1976-77,"5,215,576"
NSW,1977-78,"5,271,771"
NSW,1978-79,"5,331,927"
NSW,1979-80,"5,395,818"
NSW,1980-81,"5,462,470"
NSW,1981-82,"5,536,625"
NSW,1982-83,"5,591,942"
NSW,1983-84,"5,647,841"
NSW,1984-85,"5,715,901"
NSW,1985-86,"5,790,436"
NSW,1986-87,"5,882,213"
NSW,1987-88,"5,979,438"
NSW,1988-89,"6,052,715"
NSW,1989-90,"6,116,232"
NSW,1990-91,"6,188,051"
NSW,1991-92,"6,252,709"
NSW,1992-93,"6,294,808"
NSW,1993-94,"6,347,013"
NSW,1994-95,"6,411,398"
NSW,1995-96,"6,486,090"
NSW,1996-97,"6,556,800"
NSW,1997-98,"6,617,331"
NSW,1998-99,"6,689,274"
NSW,1999-00,"6,763,793"
NSW,2000-01,"6,851,887"
NSW,2001-02,"6,905,434"
NSW,2002-03,"6,948,072"
NSW,2003-04,"6,979,675"
NSW,2004-05,"7,024,605"
NSW,2005-06,"7,077,860"
NSW,2006-07,"7,176,800"
NSW,2007-08,"7,291,829"
NSW,2008-09,"7,408,540"
NSW,2009-10,"7,506,058"
NSW,2010-11,"7,586,514"
NSW,2011-12,"7,680,783"
NSW,2012-13,"7,787,289"
NSW,2013-14,"7,897,152"
NSW,2014-15,"8,011,981"
NSW,2015-16,"8,135,962"
NSW,2016-17,"8,270,362"
NSW,2017-18,"8,380,557"
NSW,2018-19,"8,482,478"
NSW,2019-20,"8,555,513"
NSW,2020-21,"8,549,570"
NSW,2021-22,"8,623,619"
NSW,2022-23,"8,811,429"
