state,year,Population
NT,1960-61,"44,481"
NT,1961-62,"46,004"
NT,1962-63,"48,461"
NT,1963-64,"51,463"
NT,1964-65,"53,858"
NT,1965-66,"56,504"
NT,1966-67,"61,836"
NT,1967-68,"67,537"
NT,1968-69,"72,962"
NT,1969-70,"78,811"
NT,1970-71,"85,735"
NT,1971-72,"92,081"
NT,1972-73,"97,127"
NT,1973-74,"102,924"
NT,1974-75,"92,869"
NT,1975-76,"98,228"
NT,1976-77,"103,938"
NT,1977-78,"109,980"
NT,1978-79,"114,149"
NT,1979-80,"118,245"
NT,1980-81,"122,616"
NT,1981-82,"130,314"
NT,1982-83,"135,916"
NT,1983-84,"142,154"
NT,1984-85,"148,536"
NT,1985-86,"154,421"
NT,1986-87,"158,205"
NT,1987-88,"159,026"
NT,1988-89,"161,179"
NT,1989-90,"163,728"
NT,1990-91,"165,493"
NT,1991-92,"168,546"
NT,1992-93,"171,708"
NT,1993-94,"174,908"
NT,1994-95,"179,602"
NT,1995-96,"184,516"
NT,1996-97,"189,755"
NT,1997-98,"192,905"
NT,1998-99,"196,012"
NT,1999-00,"199,149"
NT,2000-01,"201,743"
NT,2001-02,"202,251"
NT,2002-03,"201,725"
NT,2003-04,"202,663"
NT,2004-05,"205,905"
NT,2005-06,"209,057"
NT,2006-07,"213,748"
NT,2007-08,"219,874"
NT,2008-09,"226,027"
NT,2009-10,"229,778"
NT,2010-11,"231,292"
NT,2011-12,"235,915"
NT,2012-13,"241,722"
NT,2013-14,"242,894"
NT,2014-15,"244,692"
NT,2015-16,"245,678"
NT,2016-17,"247,412"
NT,2017-18,"247,095"
NT,2018-19,"246,559"
NT,2019-20,"247,428"
NT,2020-21,"248,151"
NT,2021-22,"250,228"
NT,2022-23,"252,955"
