State,Year,Population
QLD,1960-61,"1,527,514"
QLD,1961-62,"1,550,982"
QLD,1962-63,"1,577,867"
QLD,1963-64,"1,610,698"
QLD,1964-65,"1,644,534"
QLD,1965-66,"1,674,324"
QLD,1966-67,"1,699,982"
QLD,1967-68,"1,728,996"
QLD,1968-69,"1,763,087"
QLD,1969-70,"1,792,743"
QLD,1970-71,"1,851,485"
QLD,1971-72,"1,898,478"
QLD,1972-73,"1,951,951"
QLD,1973-74,"2,008,340"
QLD,1974-75,"2,051,362"
QLD,1975-76,"2,092,375"
QLD,1976-77,"2,129,839"
QLD,1977-78,"2,172,047"
QLD,1978-79,"2,214,771"
QLD,1979-80,"2,265,935"
QLD,1980-81,"2,345,208"
QLD,1981-82,"2,424,586"
QLD,1982-83,"2,482,282"
QLD,1983-84,"2,523,859"
QLD,1984-85,"2,571,218"
QLD,1985-86,"2,624,595"
QLD,1986-87,"2,675,107"
QLD,1987-88,"2,739,907"
QLD,1988-89,"2,827,637"
QLD,1989-90,"2,899,283"
QLD,1990-91,"2,960,951"
QLD,1991-92,"3,023,198"
QLD,1992-93,"3,096,185"
QLD,1993-94,"3,166,566"
QLD,1994-95,"3,237,380"
QLD,1995-96,"3,303,192"
QLD,1996-97,"3,355,417"
QLD,1997-98,"3,404,484"
QLD,1998-99,"3,453,936"
QLD,1999-00,"3,509,458"
QLD,2000-01,"3,571,469"
QLD,2001-02,"3,653,123"
QLD,2002-03,"3,743,121"
QLD,2003-04,"3,829,970"
QLD,2004-05,"3,918,494"
QLD,2005-06,"4,007,992"
QLD,2006-07,"4,111,018"
QLD,2007-08,"4,219,505"
QLD,2008-09,"4,328,771"
QLD,2009-10,"4,404,744"
QLD,2010-11,"4,476,778"
QLD,2011-12,"4,568,687"
QLD,2012-13,"4,652,824"
QLD,2013-14,"4,719,653"
QLD,2014-15,"4,777,692"
QLD,2015-16,"4,845,152"
QLD,2016-17,"4,926,380"
QLD,2017-18,"5,006,623"
QLD,2018-19,"5,088,847"
QLD,2019-20,"5,165,613"
QLD,2020-21,"5,215,814"
QLD,2021-22,"5,320,941"
QLD,2022-23,"5,461,367"
