state,year,Population
SA,1960-61,"971,487"
SA,1961-62,"987,496"
SA,1962-63,"1,010,741"
SA,1963-64,"1,038,020"
SA,1964-65,"1,067,571"
SA,1965-66,"1,094,984"
SA,1966-67,"1,109,780"
SA,1967-68,"1,121,811"
SA,1968-69,"1,139,333"
SA,1969-70,"1,157,987"
SA,1970-71,"1,200,114"
SA,1971-72,"1,214,628"
SA,1972-73,"1,228,475"
SA,1973-74,"1,241,538"
SA,1974-75,"1,265,264"
SA,1975-76,"1,274,070"
SA,1976-77,"1,286,119"
SA,1977-78,"1,296,205"
SA,1978-79,"1,301,109"
SA,1979-80,"1,308,397"
SA,1980-81,"1,318,769"
SA,1981-82,"1,331,108"
SA,1982-83,"1,345,775"
SA,1983-84,"1,360,048"
SA,1984-85,"1,371,197"
SA,1985-86,"1,382,550"
SA,1986-87,"1,392,764"
SA,1987-88,"1,404,909"
SA,1988-89,"1,419,029"
SA,1989-90,"1,432,056"
SA,1990-91,"1,446,299"
SA,1991-92,"1,455,442"
SA,1992-93,"1,458,632"
SA,1993-94,"1,463,089"
SA,1994-95,"1,465,340"
SA,1995-96,"1,469,079"
SA,1996-97,"1,475,658"
SA,1997-98,"1,483,270"
SA,1998-99,"1,490,934"
SA,1999-00,"1,497,503"
SA,2000-01,"1,503,461"
SA,2001-02,"1,511,567"
SA,2002-03,"1,520,399"
SA,2003-04,"1,528,189"
SA,2004-05,"1,538,804"
SA,2005-06,"1,552,529"
SA,2006-07,"1,570,619"
SA,2007-08,"1,588,665"
SA,2008-09,"1,608,902"
SA,2009-10,"1,627,322"
SA,2010-11,"1,639,614"
SA,2011-12,"1,656,725"
SA,2012-13,"1,671,488"
SA,2013-14,"1,686,945"
SA,2014-15,"1,700,668"
SA,2015-16,"1,712,843"
SA,2016-17,"1,728,673"
SA,2017-18,"1,746,137"
SA,2018-19,"1,767,395"
SA,2019-20,"1,790,355"
SA,2020-21,"1,802,601"
SA,2021-22,"1,821,215"
SA,2022-23,"1,853,064"
