state,year,Population
TAS,1960-61,"350,340"
TAS,1961-62,"355,668"
TAS,1962-63,"360,727"
TAS,1963-64,"364,311"
TAS,1964-65,"367,905"
TAS,1965-66,"371,436"
TAS,1966-67,"375,244"
TAS,1967-68,"379,649"
TAS,1968-69,"384,893"
TAS,1969-70,"387,720"
TAS,1970-71,"398,073"
TAS,1971-72,"400,308"
TAS,1972-73,"403,087"
TAS,1973-74,"406,151"
TAS,1974-75,"410,088"
TAS,1975-76,"412,314"
TAS,1976-77,"415,032"
TAS,1977-78,"417,642"
TAS,1978-79,"420,756"
TAS,1979-80,"423,590"
TAS,1980-81,"427,224"
TAS,1981-82,"429,845"
TAS,1982-83,"432,805"
TAS,1983-84,"437,760"
TAS,1984-85,"442,828"
TAS,1985-86,"446,473"
TAS,1986-87,"449,226"
TAS,1987-88,"451,148"
TAS,1988-89,"455,258"
TAS,1989-90,"462,188"
TAS,1990-91,"466,802"
TAS,1991-92,"469,979"
TAS,1992-93,"471,987"
TAS,1993-94,"473,499"
TAS,1994-95,"474,515"
TAS,1995-96,"475,605"
TAS,1996-97,"474,908"
TAS,1997-98,"473,430"
TAS,1998-99,"473,030"
TAS,1999-00,"473,123"
TAS,2000-01,"473,668"
TAS,2001-02,"474,152"
TAS,2002-03,"478,534"
TAS,2003-04,"483,178"
TAS,2004-05,"486,202"
TAS,2005-06,"489,302"
TAS,2006-07,"493,262"
TAS,2007-08,"498,568"
TAS,2008-09,"504,353"
TAS,2009-10,"508,847"
TAS,2010-11,"511,483"
TAS,2011-12,"511,724"
TAS,2012-13,"512,231"
TAS,2013-14,"513,621"
TAS,2014-15,"515,117"
TAS,2015-16,"517,514"
TAS,2016-17,"526,762"
TAS,2017-18,"537,291"
TAS,2018-19,"547,841"
TAS,2019-20,"557,578"
TAS,2020-21,"567,239"
TAS,2021-22,"571,051"
TAS,2022-23,"573,479"
