state,year,Population
VIC,1960-61,"2,930,366"
VIC,1961-62,"2,983,058"
VIC,1962-63,"3,040,841"
VIC,1963-64,"3,105,519"
VIC,1964-65,"3,164,369"
VIC,1965-66,"3,220,217"
VIC,1966-67,"3,274,340"
VIC,1967-68,"3,324,180"
VIC,1968-69,"3,385,043"
VIC,1969-70,"3,444,936"
VIC,1970-71,"3,601,352"
VIC,1971-72,"3,661,254"
VIC,1972-73,"3,707,653"
VIC,1973-74,"3,755,726"
VIC,1974-75,"3,787,441"
VIC,1975-76,"3,810,426"
VIC,1976-77,"3,837,364"
VIC,1977-78,"3,863,759"
VIC,1978-79,"3,886,406"
VIC,1979-80,"3,914,303"
VIC,1980-81,"3,946,917"
VIC,1981-82,"3,992,870"
VIC,1982-83,"4,035,702"
VIC,1983-84,"4,076,492"
VIC,1984-85,"4,120,068"
VIC,1985-86,"4,160,856"
VIC,1986-87,"4,210,111"
VIC,1987-88,"4,262,569"
VIC,1988-89,"4,320,164"
VIC,1989-90,"4,378,592"
VIC,1990-91,"4,420,373"
VIC,1991-92,"4,450,217"
VIC,1992-93,"4,462,766"
VIC,1993-94,"4,472,989"
VIC,1994-95,"4,497,660"
VIC,1995-96,"4,534,984"
VIC,1996-97,"4,569,297"
VIC,1997-98,"4,606,970"
VIC,1998-99,"4,652,462"
VIC,1999-00,"4,704,065"
VIC,2000-01,"4,763,615"
VIC,2001-02,"4,817,774"
VIC,2002-03,"4,873,809"
VIC,2003-04,"4,927,149"
VIC,2004-05,"4,989,246"
VIC,2005-06,"5,061,266"
VIC,2006-07,"5,153,522"
VIC,2007-08,"5,256,375"
VIC,2008-09,"5,371,934"
VIC,2009-10,"5,461,101"
VIC,2010-11,"5,537,817"
VIC,2011-12,"5,651,091"
VIC,2012-13,"5,772,669"
VIC,2013-14,"5,894,917"
VIC,2014-15,"6,022,322"
VIC,2015-16,"6,173,172"
VIC,2016-17,"6,302,608"
VIC,2017-18,"6,423,038"
VIC,2018-19,"6,537,305"
VIC,2019-20,"6,615,046"
VIC,2020-21,"6,547,822"
VIC,2021-22,"6,630,631"
VIC,2022-23,"6,818,442"
