state,year,Population
WA,1960-61,"746,750"
WA,1961-62,"765,962"
WA,1962-63,"788,344"
WA,1963-64,"808,443"
WA,1964-65,"825,525"
WA,1965-66,"848,100"
WA,1966-67,"879,179"
WA,1967-68,"915,042"
WA,1968-69,"954,846"
WA,1969-70,"991,354"
WA,1970-71,"1,053,834"
WA,1971-72,"1,082,017"
WA,1972-73,"1,101,041"
WA,1973-74,"1,127,598"
WA,1974-75,"1,154,948"
WA,1975-76,"1,178,342"
WA,1976-77,"1,204,366"
WA,1977-78,"1,227,851"
WA,1978-79,"1,246,611"
WA,1979-80,"1,269,068"
WA,1980-81,"1,300,056"
WA,1981-82,"1,338,899"
WA,1982-83,"1,369,050"
WA,1983-84,"1,391,237"
WA,1984-85,"1,418,564"
WA,1985-86,"1,459,019"
WA,1986-87,"1,496,248"
WA,1987-88,"1,535,167"
WA,1988-89,"1,578,434"
WA,1989-90,"1,613,049"
WA,1990-91,"1,636,067"
WA,1991-92,"1,658,544"
WA,1992-93,"1,678,722"
WA,1993-94,"1,704,649"
WA,1994-95,"1,736,066"
WA,1995-96,"1,768,206"
WA,1996-97,"1,798,341"
WA,1997-98,"1,826,440"
WA,1998-99,"1,853,936"
WA,1999-00,"1,879,093"
WA,2000-01,"1,906,274"
WA,2001-02,"1,928,512"
WA,2002-03,"1,952,741"
WA,2003-04,"1,979,542"
WA,2004-05,"2,011,207"
WA,2005-06,"2,050,581"
WA,2006-07,"2,106,139"
WA,2007-08,"2,171,700"
WA,2008-09,"2,240,250"
WA,2009-10,"2,290,845"
WA,2010-11,"2,353,409"
WA,2011-12,"2,425,507"
WA,2012-13,"2,486,944"
WA,2013-14,"2,517,608"
WA,2014-15,"2,540,672"
WA,2015-16,"2,555,978"
WA,2016-17,"2,585,720"
WA,2017-18,"2,617,792"
WA,2018-19,"2,659,625"
WA,2019-20,"2,712,912"
WA,2020-21,"2,749,365"
WA,2021-22,"2,791,794"
WA,2022-23,"2,883,245"
